"145.230","-","MA","Boston","","W1BOS","88.5","100.0",,"Suffolk","","","","2017/03/04",
"145.230","-","NH","Ossipee","DMR    ","N1RHN","CC1","","Local","Carroll","","","CT ARES DMR Net","2016/03/29",
"145.230","-","VT","Saint Albans","","N1STA","100.0","",,"Franklin","","","","2007/11/04",
"145.240","-","ME","Sidney","DMR    ","KC1FRJ","CC12","",,"Kennebec","","","DMR-MARC New England Net","2023/11/12",
"145.240","-","NH","Rochester","DMR    ","K1LTM","CC3","",,"Strafford","","","DMR-MARC New England Net","2017/08/20",
"145.250","-","MA","Norwell","P25YSFD-STARM17NXDNDMR/FM ","AC1M","77.0/CC5/C/RAN2/NAC250/CAN0","",,"Plymouth","","","Brandmeister DMR Net","2025/05/02",
"145.250","-","NH","Clarksville","DMR    ","W1COS","CC0","",,"Coos","","","DMR-MARC New England Net","2018/12/09",
"145.260","-","CT","Vernon","D-STAR    ","AA1HD","C","",,"Tolland","","","D-STAR REF069 C","2015/01/26",
"145.260","-","NH","Hudson","DMR    ","K1MOT","CC5","",,"Hillsborough","","","DMR-MARC New England Net","2015/10/10",
"145.270","-","MA","Great Barrington","YSF/FM ","KA1OA","136.5","",,"Berkshire","","","","2017/12/10",
"145.270","-","MA","Harwich","","WA1YFV","67.0","67.0*",,"Barnstable","","","","2025/09/04",
"145.270","-","MA","Southborough","DMR    ","AE1C","CC7","",,"Worcester","","","DMR-MARC New England Net","2024/05/06",
"145.270","-","ME","Palermo","","W1PIG","100.0","",,"Waldo","","","W1PIG Net","2023/05/11",
"145.280","-","MA","Plymouth","NXDN    ","WG1U","RAN1","",,"Plymouth","","","","2025/08/18",
"145.280","-","NH","Wakefield","DMR    ","K1LTM","CC7","",,"Carroll","","","DMR-MARC New England Net","2017/08/20",
"145.290","-","CT","Killingworth","","W1BCG","110.9","100.0*","OFF","Middlesex","","","","2025/02/06",
"145.290","-","MA","Dartmouth","NXDN    ","NN1D","RAN1","",,"Bristol","","","","2025/01/05",
"145.290","-","MA","Methuen","","N1LHP","123.0","",,"Essex","","","Phantom Net","2024/05/06",
